번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
1,제22대,강경숙,조국혁신당,"교육위원회, 예산결산특별위원회",비례대표,여,초선,비례대표
2,제22대,강대식,국민의힘,"국토교통위원회, 예산결산특별위원회",대구 동구군위군을,남,재선,지역구
3,제22대,강득구,더불어민주당,"기후위기 특별위원회, 국토교통위원회",경기 안양시만안구,남,재선,지역구
4,제22대,강명구,국민의힘,행정안전위원회,경북 구미시을,남,초선,지역구
5,제22대,강민국,국민의힘,재정경제기획위원회,경남 진주시을,남,재선,지역구
6,제22대,강선영,국민의힘,"국방위원회, 성평등가족위원회",비례대표,여,초선,비례대표
7,제22대,강선우,무소속,농림축산식품해양수산위원회,서울 강서구갑,여,재선,지역구
8,제22대,강승규,국민의힘,농림축산식품해양수산위원회,충남 홍성군예산군,남,재선,지역구
9,제22대,강준현,더불어민주당,정무위원회,세종특별자치시을,남,재선,지역구
10,제22대,고동진,국민의힘,외교통일위원회,서울 강남구병,남,초선,지역구
11,제22대,고민정,더불어민주당,교육위원회,서울 광진구을,여,재선,지역구
12,제22대,곽규택,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 법제사법위원회",부산 서구동구,남,초선,지역구
13,제22대,곽상언,더불어민주당,"기후에너지환경노동위원회, 성평등가족위원회",서울 종로구,남,초선,지역구
14,제22대,구자근,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑,남,재선,지역구
15,제22대,권영세,국민의힘,외교통일위원회,서울 용산구,남,5선,지역구
16,제22대,권영진,국민의힘,행정안전위원회,대구 달서구병,남,재선,지역구
17,제22대,권칠승,더불어민주당,보건복지위원회,경기 화성시병,남,3선,지역구
18,제22대,권향엽,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",전남광주통합특별시 순천시광양시곡성군구례군을,여,초선,지역구
19,제22대,김건,국민의힘,"외교통일위원회, 성평등가족위원회",비례대표,남,초선,비례대표
20,제22대,김교흥,더불어민주당,"보건복지위원회, 예산결산특별위원회",인천 서구갑,남,3선,지역구
21,제22대,김기웅,국민의힘,"국회운영위원회, 보건복지위원회",대구 중구남구,남,초선,지역구
22,제22대,김기표,더불어민주당,법제사법위원회,경기 부천시을,남,초선,지역구
23,제22대,김기현,국민의힘,기후에너지환경노동위원회,울산 남구을,남,5선,지역구
24,제22대,김남국,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",경기 안산시갑,남,재선,지역구
25,제22대,김남근,더불어민주당,"국토교통위원회, 성평등가족위원회, 예산결산특별위원회",서울 성북구을,남,초선,지역구
26,제22대,김남준,더불어민주당,"예산결산특별위원회, 재정경제기획위원회",인천 계양구을,남,초선,지역구
27,제22대,김남희,더불어민주당,"연금개혁 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",경기 광명시을,여,초선,지역구
28,제22대,김대식,국민의힘,외교통일위원회,부산 사상구,남,초선,지역구
29,제22대,김도읍,국민의힘,산업통상자원중소벤처기업위원회,부산 강서구,남,4선,지역구
30,제22대,김동아,더불어민주당,법제사법위원회,서울 서대문구갑,남,초선,지역구
31,제22대,김문수,더불어민주당,교육위원회,전남광주통합특별시 순천시광양시곡성군구례군갑,남,초선,지역구
32,제22대,김미애,국민의힘,"국토교통위원회, 국회운영위원회",부산 해운대구을,여,재선,지역구
33,제22대,김민석,더불어민주당,국방위원회,서울 영등포구을,남,4선,지역구
34,제22대,김민전,국민의힘,"국회운영위원회, 법제사법위원회",비례대표,여,초선,비례대표
35,제22대,김병기,무소속,국방위원회,서울 동작구갑,남,3선,지역구
